iter	RMSE
0	91936.8084
1	89080.64056
2	86343.58675
3	83903.97416
4	81670.54922
5	79558.12177
6	77570.95527
7	75737.88257
8	73924.32335
9	72361.27775
10	71063.01338
11	69706.53557
12	68300.90344
13	67170.18992
14	65966.7684
15	64913.69548
16	64006.17915
17	63119.7603
18	62369.77781
19	61633.79595
20	60926.97487
21	60301.19387
22	59533.16026
23	58855.46369
24	58338.6418
25	57844.84718
26	57420.50648
27	56988.12741
28	56597.0908
29	56261.00969
30	55770.22174
31	55460.38489
32	55186.22667
33	54780.43563
34	54415.54653
35	53984.89242
36	53605.29754
37	53332.76222
38	53145.45818
39	52873.95142
40	52626.3758
41	52324.8877
42	52060.10193
43	51834.13134
44	51596.98322
45	51442.54386
46	51211.21275
47	51048.46582
48	50788.9129
49	50628.93802
50	50369.237
51	50200.78658
52	50012.17353
53	49913.90922
54	49706.71717
55	49552.67857
56	49401.71846
57	49209.61453
58	49083.60345
59	48966.91989
60	48805.72903
61	48629.99117
62	48469.1447
63	48345.41367
64	48167.49634
65	48087.91296
66	47928.80758
67	47782.35541
68	47699.13118
69	47622.70648
70	47486.11821
71	47327.24973
72	47239.0979
73	47142.83753
74	47046.19148
75	46914.37064
76	46833.39877
77	46669.57886
78	46573.36009
79	46496.41774
80	46346.06483
81	46214.55822
82	46106.35091
83	46030.33281
84	45974.54857
85	45899.27164
86	45812.07062
87	45717.61587
88	45645.65397
89	45585.40388
90	45520.76745
91	45464.15086
92	45377.88385
93	45293.07387
94	45244.64102
95	45181.44911
96	45102.42352
97	45053.22176
98	44983.9589
99	44881.33407
100	44750.49084
101	44675.71095
102	44568.05321
103	44503.5793
104	44403.25321
105	44342.04186
106	44262.64072
107	44204.64626
108	44068.9597
109	44004.93737
110	43929.53516
111	43878.88629
112	43820.11867
113	43760.90054
114	43696.91518
115	43631.48075
116	43583.80872
117	43507.20916
118	43423.89823
119	43373.61403
120	43340.26558
121	43246.20539
122	43211.03361
123	43157.05219
124	43128.89604
125	43054.67321
126	42999.30305
127	42963.91806
128	42915.29736
129	42827.60459
130	42762.11264
131	42702.78597
132	42656.53249
133	42604.49449
134	42564.47733
135	42512.78864
136	42435.1569
137	42383.16275
138	42345.26897
139	42275.87463
140	42216.34595
141	42171.04305
142	42103.81176
143	42051.60927
144	42016.13348
145	41963.03683
146	41908.55704
147	41862.96932
148	41822.78724
149	41768.72241
150	41735.50696
151	41655.8299
152	41605.44158
153	41551.78207
154	41471.47224
155	41430.62207
156	41374.28704
157	41318.11909
158	41275.18532
159	41201.07862
160	41141.9272
161	41103.83525
162	41048.56837
163	41009.69259
164	40953.71001
165	40894.54632
166	40853.92836
167	40803.81748
168	40755.19123
169	40698.72639
170	40653.87827
171	40599.52016
172	40552.07802
173	40518.45838
174	40474.29692
175	40410.2771
176	40354.70451
177	40312.14486
178	40272.72775
179	40208.51764
180	40151.7551
181	40103.5093
182	40074.22653
183	40036.36568
184	39968.08766
185	39905.70957
186	39874.02989
187	39820.57001
188	39770.35278
189	39726.55203
190	39685.52566
191	39652.45996
192	39616.48422
193	39569.81507
194	39508.82312
195	39479.11927
196	39449.94207
197	39400.58089
198	39346.27166
199	39300.52144
200	39249.38398
201	39200.75585
202	39155.65606
203	39113.57174
204	39082.74185
205	39037.92419
206	38986.41925
207	38947.23507
208	38913.85922
209	38880.437
210	38846.05949
211	38811.22439
212	38748.97734
213	38699.14172
214	38656.62443
215	38611.66842
216	38580.75733
217	38529.85419
218	38499.0851
219	38468.93364
220	38430.15601
221	38393.40474
222	38357.74891
223	38325.97697
224	38281.68055
225	38226.50254
226	38185.34603
227	38144.00368
228	38117.23884
229	38060.9508
230	38022.78165
231	37982.67748
232	37955.07037
233	37911.91857
234	37877.50869
235	37846.05505
236	37814.122
237	37771.90268
238	37738.63011
239	37703.71243
240	37654.4884
241	37616.79647
242	37582.93303
243	37556.38093
244	37524.87823
245	37500.61505
246	37472.95071
247	37443.01214
248	37410.65772
249	37379.6863
250	37352.22327
251	37313.05538
252	37285.51315
253	37255.87596
254	37204.24606
255	37168.08471
256	37134.9391
257	37098.88339
258	37056.58052
259	37022.17309
260	36981.66285
261	36955.01042
262	36917.90155
263	36887.19163
264	36847.47361
265	36809.64857
266	36766.73146
267	36735.29278
268	36690.80578
269	36667.99691
270	36634.11369
271	36604.31204
272	36578.20171
273	36533.0772
274	36503.62849
275	36461.72033
276	36430.23813
277	36412.54964
278	36377.92338
279	36346.32064
280	36315.44258
281	36291.8941
282	36258.35669
283	36235.05018
284	36207.90265
285	36160.94096
286	36140.03312
287	36112.15256
288	36085.54612
289	36058.95411
290	36021.97045
291	35993.80656
292	35963.53509
293	35930.31871
294	35901.41897
295	35864.78012
296	35833.0201
297	35802.15829
298	35764.36394
299	35737.523
300	35685.93724
301	35660.10056
302	35632.03166
303	35594.43127
304	35572.19467
305	35550.29248
306	35522.40395
307	35477.78224
308	35446.46886
309	35413.6111
310	35389.09724
311	35366.35565
312	35325.46877
313	35300.84107
314	35272.29106
315	35230.77343
316	35207.04121
317	35184.87134
318	35153.33738
319	35123.6125
320	35102.60639
321	35079.75821
322	35052.41108
323	35032.05914
324	34999.13697
325	34979.56088
326	34948.99745
327	34926.13652
328	34901.05719
329	34869.2732
330	34844.52476
331	34790.9999
332	34771.10871
333	34746.6843
334	34726.00851
335	34702.81443
336	34669.29698
337	34630.99802
338	34605.86642
339	34579.28314
